EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	17:42:59	0	0.0200	0.306892465934912
2	17:43:40	0	0.0200	0.0749827635789708
3	17:44:19	0	0.0200	0.005772011638165557
4	17:45:00	0	0.0200	0.00019860116058875325
5	17:45:41	0	0.0200	0.00017380163920474194
6	17:46:22	0	0.0200	0.00012373383689074608
7	17:47:04	1	0.0200	0.0009385595065590938
8	17:47:47	0	0.0200	5.6978647113023074e-05
9	17:48:29	1	0.0200	0.0006139300434629799
10	17:49:11	2	0.0200	0.00016628711715124415
11	17:49:53	3	0.0200	6.095095035009633e-05
12	17:50:35	0	0.0200	3.4390858356151254e-05
13	17:51:17	1	0.0200	5.6403017034816525e-05
14	17:52:01	0	0.0200	2.9586533989751323e-05
15	17:52:43	1	0.0200	3.52138710906859e-05